,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,IL,CH,B.E.,L,ADN,PAN,PCP-PEV,E,MAS,MPT,NC,ND,PTP,R.I.R.,VP
LOCAL-430101,Altares,3,7,107,93,14,9,3,3,2,2,1,0,0,0,0,0,0,0,0
LOCAL-430102,Angra (Nossa Senhora da Conceição),11,25,352,387,84,84,57,42,18,17,25,5,0,1,3,1,0,0,2
LOCAL-430103,Angra (Santa Luzia),5,22,226,248,45,36,28,16,7,6,10,0,0,0,0,0,2,0,2
LOCAL-430104,Angra (São Pedro),7,16,458,374,110,51,49,40,6,11,21,1,0,0,0,0,0,2,1
LOCAL-430105,Angra (Sé),9,12,204,134,38,37,42,28,7,7,5,1,0,1,1,0,1,0,2
LOCAL-430106,Cinco Ribeiras,2,9,108,59,5,12,11,5,4,1,6,0,0,0,1,0,1,0,0
LOCAL-430107,Doze Ribeiras,4,5,65,56,5,10,7,1,3,0,1,0,0,1,1,0,0,0,0
LOCAL-430108,Feteira,9,11,159,105,34,37,6,7,2,3,2,0,1,0,1,1,1,0,0
LOCAL-430109,Porto Judeu,3,6,220,177,33,33,15,12,6,5,7,0,0,0,0,0,0,0,0
LOCAL-430110,Posto Santo,1,8,101,100,16,18,13,8,4,0,0,0,0,0,0,0,0,0,0
LOCAL-430111,Raminho,3,3,70,61,7,8,3,1,1,1,1,1,0,0,0,0,0,0,0
LOCAL-430112,Ribeirinha,1,7,332,203,17,27,14,11,12,18,2,3,1,2,0,0,1,0,1
LOCAL-430113,Santa Bárbara,3,11,127,90,11,16,7,6,3,5,1,1,1,0,1,0,1,0,0
LOCAL-430114,São Bartolomeu de Regatos,0,12,176,125,24,32,14,15,5,5,6,2,0,0,0,0,0,0,0
LOCAL-430115,São Bento,6,13,173,223,30,37,16,7,8,4,6,2,0,0,0,1,1,0,2
LOCAL-430116,São Mateus da Calheta,4,11,281,248,61,45,22,13,6,5,18,0,0,0,0,0,0,0,1
LOCAL-430117,Serreta,0,9,56,43,4,13,2,0,2,2,0,0,1,0,1,0,0,0,0
LOCAL-430118,Terra Chã,10,16,232,194,40,44,24,11,7,4,8,0,0,1,0,0,0,0,3
LOCAL-430119,Vila de São Sebastião,3,10,206,167,30,52,13,8,8,7,4,2,0,0,0,1,0,1,1
