,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,PCTP/MRPP,PCP-PEV,MMS,PPV,PPM,MPT,MEP,MPT-P.H.,PND,P.N.R.,POUS,PTP
LOCAL-430101,Altares,5,6,186.0,156.0,44.0,22.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),11,48,555.0,507.0,222.0,153.0,10.0,40.0,1.0,1.0,4.0,7.0,7.0,,,,,
LOCAL-430103,Angra (Santa Luzia),4,21,436.0,313.0,141.0,128.0,7.0,27.0,4.0,2.0,1.0,2.0,1.0,,,,,
LOCAL-430104,Angra (São Pedro),14,46,543.0,588.0,232.0,146.0,3.0,32.0,1.0,1.0,6.0,3.0,3.0,,,,,
LOCAL-430105,Angra (Sé),6,13,183.0,269.0,76.0,49.0,4.0,14.0,2.0,1.0,2.0,0.0,4.0,,,,,
LOCAL-430106,Cinco Ribeiras,1,10,103.0,153.0,33.0,18.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,,,,,
LOCAL-430107,Doze Ribeiras,8,6,145.0,80.0,32.0,13.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,,,,,
LOCAL-430108,Feteira,7,12,185.0,212.0,56.0,23.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,,,,,
LOCAL-430109,Porto Judeu,4,14,361.0,375.0,130.0,50.0,3.0,11.0,1.0,0.0,3.0,0.0,2.0,,,,,
LOCAL-430110,Posto Santo,5,13,191.0,152.0,35.0,45.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,,,,,
LOCAL-430111,Raminho,3,7,109.0,134.0,14.0,7.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,,,,,
LOCAL-430112,Ribeirinha,10,21,650.0,643.0,110.0,51.0,1.0,13.0,1.0,0.0,1.0,2.0,2.0,,,,,
LOCAL-430113,Santa Bárbara,7,10,230.0,207.0,106.0,28.0,5.0,11.0,0.0,1.0,1.0,1.0,3.0,,,,,
LOCAL-430114,São Bartolomeu de Regatos,8,12,210.0,304.0,72.0,46.0,4.0,5.0,0.0,1.0,1.0,3.0,2.0,,,,,
LOCAL-430115,São Bento,3,15,391.0,242.0,75.0,70.0,8.0,15.0,0.0,1.0,0.0,3.0,0.0,,,,,
LOCAL-430116,São Mateus da Calheta,15,22,703.0,270.0,96.0,84.0,6.0,35.0,0.0,1.0,2.0,3.0,1.0,,,,,
LOCAL-430117,Serreta,0,6,83.0,50.0,25.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,,,,,
LOCAL-430118,Terra Chã,19,23,429.0,339.0,129.0,112.0,6.0,23.0,3.0,0.0,0.0,4.0,2.0,,,,,
LOCAL-430119,Vila de São Sebastião,6,7,405.0,322.0,129.0,35.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,
LOCAL-450101,Calheta (R.A.Açores),4,13,283.0,256.0,47.0,27.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,,,,,
LOCAL-450102,Norte Pequeno (R.A.Açores),1,1,56.0,78.0,11.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,
LOCAL-450103,Ribeira Seca (R.A.Açores),9,3,157.0,253.0,47.0,15.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,,,,,
LOCAL-450104,Santo Antão (R.A.Açores),5,7,96.0,228.0,27.0,8.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário)(R.A.Açores),3,3,78.0,148.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-490101,Corvo,8,6,92.0,39.0,15.0,9.0,1.0,1.0,0.0,0.0,41.0,0.0,0.0,,,,,
LOCAL-470101,Capelo,1,9,107.0,95.0,11.0,13.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-470102,Castelo Branco,5,19,255.0,241.0,38.0,36.0,3.0,20.0,2.0,0.0,3.0,0.0,4.0,,,,,
LOCAL-470103,Cedros,4,11,128.0,279.0,38.0,25.0,3.0,19.0,1.0,1.0,5.0,0.0,2.0,,,,,
LOCAL-470104,Feteira,6,15,216.0,186.0,41.0,49.0,4.0,34.0,0.0,1.0,2.0,1.0,5.0,,,,,
LOCAL-470105,Flamengos,6,17,313.0,227.0,28.0,24.0,2.0,22.0,0.0,1.0,2.0,0.0,1.0,,,,,
LOCAL-470106,Horta (Angústias),9,29,440.0,339.0,52.0,118.0,9.0,67.0,3.0,2.0,3.0,4.0,0.0,,,,,
LOCAL-470107,Horta (Conceição),5,21,213.0,201.0,34.0,34.0,3.0,27.0,0.0,0.0,3.0,0.0,0.0,,,,,
LOCAL-470108,Horta (Matriz),7,34,296.0,418.0,68.0,78.0,8.0,65.0,1.0,1.0,3.0,1.0,2.0,,,,,
LOCAL-470109,Pedro Miguel,4,14,118.0,96.0,23.0,18.0,3.0,38.0,2.0,1.0,0.0,0.0,2.0,,,,,
LOCAL-470110,Praia do Almoxarife,2,4,224.0,133.0,15.0,21.0,3.0,13.0,1.0,0.0,1.0,0.0,1.0,,,,,
LOCAL-470111,Praia do Norte,3,2,44.0,71.0,17.0,9.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,,,,,
LOCAL-470112,Ribeirinha,0,5,85.0,72.0,20.0,8.0,1.0,13.0,0.0,0.0,0.0,1.0,2.0,,,,,
LOCAL-470113,Salão,2,1,42.0,136.0,21.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,
LOCAL-420101,Água de Pau,12,6,498.0,252.0,132.0,45.0,2.0,13.0,0.0,1.0,3.0,3.0,1.0,,,,,
LOCAL-420102,Cabouco,7,8,263.0,133.0,79.0,24.0,2.0,10.0,2.0,1.0,1.0,3.0,0.0,,,,,
LOCAL-420103,Lagoa (Nossa Senhora do Rosário),19,57,863.0,516.0,219.0,169.0,8.0,42.0,1.0,3.0,7.0,14.0,2.0,,,,,
LOCAL-420104,Lagoa (Santa Cruz),19,24,465.0,296.0,109.0,75.0,12.0,36.0,2.0,3.0,2.0,7.0,2.0,,,,,
LOCAL-420105,Ribeira Chã,2,5,85.0,37.0,18.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
LOCAL-480101,Fajã Grande,4,2,36.0,53.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-480102,Fajãzinha,0,4,18.0,24.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-480103,Fazenda,1,3,50.0,62.0,21.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
LOCAL-480104,Lajedo,0,1,14.0,33.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-480105,Lajes das Flores,0,6,84.0,141.0,28.0,9.0,1.0,6.0,0.0,0.0,2.0,3.0,0.0,,,,,
LOCAL-480106,Lomba,1,6,29.0,41.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-480107,Mosteiro,0,1,8.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-460101,Calheta de Nesquim,3,5,55.0,92.0,5.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,,,,,
LOCAL-460102,Lajes do Pico,4,11,386.0,276.0,62.0,26.0,4.0,8.0,0.0,1.0,0.0,2.0,1.0,,,,,
LOCAL-460103,Piedade,1,11,173.0,223.0,23.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,
LOCAL-460104,Ribeiras,3,4,163.0,172.0,30.0,26.0,1.0,7.0,0.0,0.0,2.0,1.0,3.0,,,,,
LOCAL-460105,Ribeirinha,0,2,94.0,87.0,10.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-460106,São João,1,5,94.0,110.0,19.0,10.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,,,,,
LOCAL-460201,Bandeiras,1,6,91.0,104.0,24.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-460202,Candelária,3,12,218.0,136.0,17.0,20.0,1.0,17.0,2.0,0.0,0.0,0.0,1.0,,,,,
LOCAL-460203,Criação Velha,1,12,79.0,177.0,22.0,9.0,2.0,7.0,0.0,1.0,0.0,1.0,1.0,,,,,
LOCAL-460204,Madalena,2,38,282.0,446.0,84.0,27.0,6.0,30.0,5.0,2.0,5.0,1.0,2.0,,,,,
LOCAL-460205,São Caetano,1,2,89.0,149.0,22.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,,,,,
LOCAL-460206,São Mateus,5,7,197.0,199.0,18.0,15.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-420201,Achada,2,4,172.0,95.0,10.0,14.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,,,,,
LOCAL-420202,Achadinha,9,5,161.0,96.0,24.0,15.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,,,,,
LOCAL-420208,Algarvia,4,0,59.0,100.0,18.0,8.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-420203,Lomba da Fazenda,10,7,144.0,188.0,38.0,35.0,6.0,13.0,1.0,3.0,1.0,5.0,2.0,,,,,
LOCAL-420204,Nordeste,16,20,204.0,266.0,67.0,64.0,7.0,12.0,4.0,1.0,4.0,2.0,3.0,,,,,
LOCAL-420206,Salga,2,4,114.0,101.0,17.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,
LOCAL-420207,Santana,5,4,109.0,93.0,12.0,17.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,,,,,
LOCAL-420209,Santo António de Nordestinho,0,3,84.0,88.0,15.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,,,,,
LOCAL-420210,São Pedro de Nordestinho,3,2,52.0,72.0,13.0,14.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,,,,,
LOCAL-420323,Ajuda da Bretanha,0,2,53.0,107.0,32.0,12.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,,,,,
LOCAL-420301,Arrifes,21,21,880.0,622.0,225.0,150.0,18.0,42.0,5.0,3.0,9.0,20.0,7.0,,,,,
LOCAL-420303,Candelária,2,3,139.0,132.0,41.0,29.0,0.0,21.0,1.0,0.0,0.0,3.0,1.0,,,,,
LOCAL-420304,Capelas,5,36,611.0,400.0,148.0,105.0,15.0,40.0,1.0,1.0,3.0,9.0,3.0,,,,,
LOCAL-420305,Covoada,4,8,171.0,181.0,68.0,30.0,4.0,10.0,0.0,1.0,0.0,3.0,1.0,,,,,
LOCAL-420306,Fajã de Baixo,15,46,641.0,557.0,225.0,203.0,11.0,43.0,3.0,5.0,4.0,16.0,6.0,,,,,
LOCAL-420307,Fajã de Cima,7,14,404.0,382.0,99.0,111.0,10.0,36.0,1.0,1.0,4.0,10.0,7.0,,,,,
LOCAL-420308,Fenais da Luz,7,4,158.0,237.0,84.0,69.0,4.0,13.0,1.0,1.0,3.0,3.0,2.0,,,,,
LOCAL-420309,Feteiras,7,12,249.0,228.0,31.0,23.0,0.0,4.0,1.0,0.0,3.0,3.0,10.0,,,,,
LOCAL-420310,Ginetes,3,6,158.0,193.0,52.0,36.0,3.0,9.0,0.0,2.0,4.0,6.0,5.0,,,,,
LOCAL-420311,Mosteiros,2,3,165.0,192.0,62.0,17.0,4.0,25.0,0.0,1.0,2.0,2.0,1.0,,,,,
LOCAL-420324,Pilar da Bretanha,2,4,76.0,107.0,56.0,19.0,3.0,7.0,0.0,0.0,2.0,2.0,1.0,,,,,
LOCAL-420313,Ponta Delgada (São José),12,51,755.0,847.0,255.0,257.0,14.0,62.0,4.0,4.0,6.0,18.0,6.0,,,,,
LOCAL-420314,Ponta Delgada (São Pedro),20,57,997.0,1178.0,366.0,363.0,18.0,99.0,6.0,6.0,13.0,10.0,9.0,,,,,
LOCAL-420312,Ponta Delgada (São Sebastião),18,25,524.0,870.0,233.0,181.0,12.0,54.0,9.0,4.0,5.0,16.0,4.0,,,,,
LOCAL-420315,Relva,6,23,322.0,334.0,108.0,99.0,10.0,19.0,0.0,3.0,1.0,4.0,2.0,,,,,
LOCAL-420316,Remédios,7,4,157.0,132.0,52.0,45.0,10.0,0.0,2.0,0.0,4.0,5.0,12.0,,,,,
LOCAL-420317,Rosto do Cão (Livramento),17,34,374.0,422.0,147.0,130.0,13.0,29.0,5.0,0.0,5.0,11.0,5.0,,,,,
LOCAL-420318,Rosto do Cão (São Roque),24,21,505.0,446.0,132.0,121.0,15.0,40.0,3.0,1.0,3.0,11.0,7.0,,,,,
