,territoryName,null_votes,blank_votes,PPD/PSD,PS,CDS-PP,B.E.,PCP-PEV,PPM,PAN,PCTP/MRPP,PDA,PTP,PNR,MPT,MEP,PPV,P.H.,POUS,PND
LOCAL-430101,Altares,1,21,171.0,108.0,64.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),7,58,643.0,383.0,209.0,75.0,57.0,2.0,23.0,9.0,2.0,4.0,2.0,4.0,3.0,,,,
LOCAL-430103,Angra (Santa Luzia),2,51,433.0,310.0,184.0,78.0,35.0,0.0,16.0,9.0,1.0,0.0,0.0,2.0,5.0,,,,
LOCAL-430104,Angra (São Pedro),9,65,771.0,374.0,313.0,76.0,36.0,0.0,12.0,8.0,3.0,3.0,0.0,3.0,3.0,,,,
LOCAL-430105,Angra (Sé),5,15,313.0,129.0,105.0,24.0,12.0,2.0,12.0,3.0,0.0,0.0,3.0,1.0,3.0,,,,
LOCAL-430106,Cinco Ribeiras,3,24,185.0,62.0,49.0,13.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,
LOCAL-430107,Doze Ribeiras,2,15,102.0,83.0,29.0,9.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,
LOCAL-430108,Feteira,8,26,239.0,117.0,77.0,16.0,10.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,,,,
LOCAL-430109,Porto Judeu,7,35,504.0,191.0,103.0,34.0,12.0,0.0,4.0,4.0,1.0,0.0,3.0,0.0,3.0,,,,
LOCAL-430110,Posto Santo,2,27,191.0,120.0,31.0,27.0,0.0,1.0,4.0,12.0,0.0,1.0,0.0,3.0,0.0,,,,
LOCAL-430111,Raminho,4,9,139.0,77.0,25.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430112,Ribeirinha,14,36,687.0,361.0,126.0,35.0,12.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,,,,
LOCAL-430113,Santa Bárbara,7,27,263.0,112.0,122.0,14.0,12.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,
LOCAL-430114,São Bartolomeu de Regatos,6,31,353.0,134.0,99.0,38.0,10.0,3.0,7.0,8.0,0.0,0.0,0.0,3.0,3.0,,,,
LOCAL-430115,São Bento,4,40,341.0,253.0,121.0,38.0,22.0,0.0,7.0,4.0,0.0,1.0,2.0,6.0,1.0,,,,
LOCAL-430116,São Mateus da Calheta,11,41,411.0,448.0,139.0,55.0,28.0,3.0,12.0,9.0,2.0,4.0,3.0,4.0,1.0,,,,
LOCAL-430117,Serreta,2,11,81.0,61.0,38.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,
LOCAL-430118,Terra Chã,14,44,422.0,279.0,151.0,64.0,28.0,4.0,9.0,6.0,2.0,0.0,1.0,3.0,3.0,,,,
LOCAL-430119,Vila de São Sebastião,6,18,382.0,199.0,132.0,33.0,10.0,1.0,6.0,2.0,4.0,2.0,0.0,2.0,3.0,,,,
LOCAL-450101,Calheta (R.A.Açores),9,20,290.0,166.0,46.0,9.0,10.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,,,,
LOCAL-450102,Norte Pequeno (R.A.Açores),0,1,80.0,24.0,18.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-450103,Ribeira Seca (R.A.Açores),1,9,362.0,68.0,54.0,12.0,5.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,,,,
LOCAL-450104,Santo Antão (R.A.Açores),5,7,238.0,46.0,35.0,7.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário)(R.A.Açores),1,6,151.0,35.0,21.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,
LOCAL-490101,Corvo,1,6,46.0,73.0,22.0,1.0,6.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470101,Capelo,0,10,94.0,77.0,11.0,8.0,11.0,0.0,4.0,5.0,1.0,1.0,2.0,0.0,0.0,,,,
LOCAL-470102,Castelo Branco,3,26,279.0,153.0,46.0,20.0,19.0,2.0,4.0,9.0,2.0,0.0,1.0,0.0,4.0,,,,
LOCAL-470103,Cedros,5,21,304.0,45.0,55.0,16.0,16.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,,,,
LOCAL-470104,Feteira,4,25,231.0,121.0,66.0,21.0,27.0,4.0,9.0,6.0,0.0,1.0,1.0,2.0,4.0,,,,
