,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
LOCAL-430101,Altares,4,13,165.0,162.0,33.0,15.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),20,43,668.0,388.0,113.0,131.0,43.0,9.0,4.0,18.0,5.0,9.0,9.0,8.0,4.0,24.0,,,,,,
LOCAL-430103,Angra (Santa Luzia),15,31,456.0,278.0,78.0,76.0,28.0,1.0,0.0,13.0,1.0,4.0,11.0,3.0,7.0,10.0,,,,,,
LOCAL-430104,Angra (São Pedro),23,52,609.0,486.0,170.0,120.0,42.0,3.0,6.0,9.0,3.0,6.0,7.0,5.0,5.0,8.0,,,,,,
LOCAL-430105,Angra (Sé),5,13,169.0,163.0,96.0,31.0,14.0,1.0,4.0,8.0,0.0,0.0,4.0,3.0,3.0,5.0,,,,,,
LOCAL-430106,Cinco Ribeiras,6,17,108.0,131.0,26.0,25.0,6.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,,,,,,
LOCAL-430107,Doze Ribeiras,1,15,120.0,87.0,6.0,3.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,
LOCAL-430108,Feteira,12,15,234.0,230.0,50.0,42.0,9.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,1.0,,,,,,
LOCAL-430109,Porto Judeu,12,28,330.0,389.0,54.0,46.0,19.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,0.0,,,,,,
LOCAL-430110,Posto Santo,6,20,209.0,121.0,17.0,34.0,9.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,,,,,,
LOCAL-430111,Raminho,4,9,92.0,114.0,8.0,11.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,
LOCAL-430112,Ribeirinha,17,38,568.0,537.0,63.0,37.0,14.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,,,,,,
LOCAL-430113,Santa Bárbara,6,18,228.0,207.0,53.0,20.0,12.0,2.0,2.0,2.0,0.0,3.0,4.0,1.0,1.0,1.0,,,,,,
LOCAL-430114,São Bartolomeu de Regatos,12,40,225.0,272.0,60.0,69.0,15.0,2.0,1.0,8.0,3.0,1.0,5.0,2.0,5.0,5.0,,,,,,
LOCAL-430115,São Bento,6,25,394.0,226.0,68.0,81.0,14.0,0.0,1.0,12.0,6.0,2.0,1.0,0.0,1.0,4.0,,,,,,
LOCAL-430116,São Mateus da Calheta,22,49,627.0,271.0,100.0,133.0,43.0,1.0,4.0,5.0,2.0,8.0,5.0,3.0,1.0,5.0,,,,,,
LOCAL-430117,Serreta,4,9,79.0,63.0,13.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
LOCAL-430118,Terra Chã,21,36,448.0,327.0,78.0,105.0,26.0,3.0,4.0,5.0,2.0,7.0,8.0,2.0,0.0,0.0,,,,,,
LOCAL-430119,Vila de São Sebastião,15,17,305.0,310.0,107.0,41.0,6.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,,,,,,
LOCAL-450101,Calheta,12,21,224.0,188.0,38.0,46.0,18.0,3.0,1.0,1.0,0.0,4.0,5.0,3.0,2.0,3.0,,,,,,
LOCAL-450102,Norte Pequeno,2,4,23.0,67.0,7.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
LOCAL-450103,Ribeira Seca,2,13,108.0,245.0,30.0,29.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,
LOCAL-450104,Santo Antão,11,6,81.0,188.0,15.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,,,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário),4,7,74.0,122.0,15.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,
LOCAL-490101,Corvo,8,5,107.0,19.0,40.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
LOCAL-470101,Capelo,4,16,94.0,79.0,7.0,27.0,13.0,1.0,0.0,4.0,0.0,4.0,3.0,0.0,2.0,3.0,,,,,,
LOCAL-470102,Castelo Branco,3,27,237.0,180.0,16.0,33.0,25.0,1.0,8.0,2.0,3.0,3.0,21.0,2.0,1.0,0.0,,,,,,
LOCAL-470103,Cedros,8,10,93.0,251.0,17.0,23.0,13.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,,,,,,
