,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-430101,Altares,2,18,163.0,105.0,32.0,12.0,7.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),20,66,535.0,363.0,89.0,124.0,15.0,14.0,17.0,36.0,8.0,13.0,1.0,44.0,8.0,3.0,5.0,3.0,4.0,,,,
LOCAL-430103,Angra (Santa Luzia),11,58,414.0,290.0,49.0,113.0,8.0,8.0,12.0,18.0,1.0,9.0,0.0,32.0,4.0,0.0,1.0,2.0,4.0,,,,
LOCAL-430104,Angra (São Pedro),20,79,564.0,493.0,103.0,137.0,18.0,23.0,16.0,30.0,5.0,20.0,1.0,40.0,10.0,3.0,2.0,3.0,1.0,,,,
LOCAL-430105,Angra (Sé),9,22,143.0,207.0,41.0,43.0,1.0,8.0,8.0,13.0,0.0,4.0,1.0,14.0,2.0,2.0,2.0,1.0,0.0,,,,
LOCAL-430106,Cinco Ribeiras,5,18,108.0,141.0,27.0,19.0,1.0,1.0,2.0,10.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,
LOCAL-430107,Doze Ribeiras,1,20,109.0,76.0,6.0,14.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430108,Feteira,7,22,229.0,215.0,36.0,52.0,4.0,8.0,3.0,5.0,1.0,4.0,0.0,15.0,0.0,4.0,0.0,3.0,1.0,,,,
LOCAL-430109,Porto Judeu,6,46,338.0,287.0,59.0,49.0,6.0,5.0,2.0,12.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,3.0,0.0,,,,
LOCAL-430110,Posto Santo,4,27,191.0,120.0,19.0,28.0,1.0,4.0,4.0,8.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,,,,
LOCAL-430111,Raminho,3,6,87.0,92.0,12.0,7.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-430112,Ribeirinha,21,39,443.0,431.0,66.0,44.0,9.0,4.0,4.0,7.0,3.0,4.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,,,,
LOCAL-430113,Santa Bárbara,8,22,237.0,157.0,51.0,34.0,2.0,3.0,3.0,7.0,0.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,0.0,,,,
LOCAL-430114,São Bartolomeu de Regatos,19,48,240.0,257.0,39.0,57.0,4.0,6.0,5.0,6.0,2.0,4.0,0.0,20.0,3.0,3.0,0.0,2.0,1.0,,,,
LOCAL-430115,São Bento,17,43,353.0,228.0,38.0,76.0,9.0,6.0,5.0,15.0,3.0,8.0,1.0,22.0,7.0,1.0,0.0,3.0,0.0,,,,
LOCAL-430116,São Mateus da Calheta,19,61,545.0,280.0,80.0,116.0,13.0,14.0,12.0,38.0,3.0,7.0,3.0,26.0,6.0,3.0,2.0,2.0,0.0,,,,
LOCAL-430117,Serreta,4,8,82.0,54.0,15.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,,,,
LOCAL-430118,Terra Chã,20,50,439.0,306.0,35.0,81.0,7.0,8.0,4.0,17.0,1.0,16.0,1.0,29.0,4.0,4.0,1.0,3.0,1.0,,,,
LOCAL-430119,Vila de São Sebastião,6,27,350.0,221.0,72.0,51.0,2.0,8.0,4.0,8.0,1.0,3.0,2.0,9.0,4.0,2.0,0.0,1.0,0.0,,,,
LOCAL-450101,Calheta,6,33,198.0,110.0,42.0,24.0,2.0,4.0,0.0,20.0,2.0,1.0,1.0,13.0,2.0,0.0,0.0,4.0,0.0,,,,
LOCAL-450102,Norte Pequeno,3,5,42.0,47.0,10.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-450103,Ribeira Seca,2,11,107.0,152.0,55.0,28.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,9.0,4.0,2.0,0.0,2.0,0.0,,,,
LOCAL-450104,Santo Antão,1,17,76.0,97.0,18.0,17.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,9.0,1.0,0.0,0.0,1.0,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário),0,7,80.0,63.0,12.0,6.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,
LOCAL-490101,Corvo,1,8,85.0,1.0,3.0,5.0,1.0,0.0,0.0,7.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470101,Capelo,3,17,77.0,63.0,10.0,15.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,,,,
LOCAL-470102,Castelo Branco,2,31,210.0,139.0,36.0,29.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-470103,Cedros,9,19,104.0,193.0,32.0,14.0,2.0,1.0,4.0,12.0,2.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,,,,
LOCAL-470104,Feteira,4,36,252.0,161.0,28.0,49.0,4.0,0.0,0.0,17.0,10.0,11.0,0.0,16.0,2.0,3.0,1.0,2.0,4.0,,,,
LOCAL-470105,Flamengos,6,31,250.0,187.0,19.0,42.0,2.0,1.0,4.0,14.0,4.0,4.0,1.0,9.0,4.0,2.0,0.0,2.0,1.0,,,,
LOCAL-470106,Horta (Angústias),8,40,366.0,296.0,29.0,76.0,5.0,3.0,7.0,59.0,9.0,11.0,2.0,30.0,5.0,2.0,1.0,4.0,1.0,,,,
LOCAL-470107,Horta (Conceição),8,23,186.0,150.0,24.0,32.0,4.0,3.0,0.0,21.0,1.0,3.0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,,,,
LOCAL-470108,Horta (Matriz),7,40,306.0,322.0,48.0,109.0,3.0,5.0,13.0,58.0,7.0,5.0,1.0,35.0,7.0,1.0,3.0,2.0,0.0,,,,
LOCAL-470109,Pedro Miguel,1,12,95.0,97.0,14.0,19.0,0.0,1.0,2.0,14.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,
LOCAL-470110,Praia do Almoxarife,3,15,150.0,112.0,5.0,29.0,5.0,2.0,0.0,17.0,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470111,Praia do Norte,0,14,29.0,56.0,23.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,
LOCAL-470112,Ribeirinha,1,18,59.0,50.0,10.0,12.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470113,Salão,1,5,34.0,72.0,19.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,,,,
LOCAL-420101,Água de Pau,14,19,412.0,140.0,24.0,43.0,5.0,6.0,7.0,7.0,1.0,8.0,3.0,20.0,4.0,7.0,2.0,0.0,1.0,,,,
LOCAL-420102,Cabouco,14,17,263.0,115.0,29.0,48.0,12.0,4.0,8.0,13.0,1.0,4.0,1.0,33.0,3.0,1.0,0.0,1.0,2.0,,,,
LOCAL-420103,Lagoa (Nossa Senhora do Rosário),34,68,743.0,408.0,69.0,195.0,8.0,20.0,16.0,34.0,5.0,14.0,6.0,55.0,9.0,12.0,1.0,7.0,3.0,,,,
LOCAL-420104,Lagoa (Santa Cruz),26,46,504.0,229.0,33.0,76.0,5.0,9.0,9.0,21.0,2.0,2.0,1.0,35.0,12.0,7.0,2.0,3.0,3.0,,,,
LOCAL-420105,Ribeira Chã,6,10,72.0,30.0,5.0,5.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,,,,
LOCAL-480101,Fajã Grande,5,6,37.0,21.0,5.0,7.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-480102,Fajãzinha,0,4,16.0,13.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-480103,Fazenda,1,6,58.0,18.0,5.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480104,Lajedo,1,6,14.0,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480105,Lajes das Flores,4,26,89.0,44.0,4.0,16.0,0.0,0.0,1.0,11.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480106,Lomba,4,7,34.0,16.0,3.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480107,Mosteiro,1,1,7.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-460101,Calheta de Nesquim,0,12,39.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-460102,Lajes do Pico,4,50,260.0,242.0,19.0,55.0,5.0,7.0,6.0,20.0,1.0,2.0,1.0,25.0,2.0,0.0,1.0,3.0,1.0,,,,
LOCAL-460103,Piedade,3,13,118.0,143.0,10.0,11.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,,,,
LOCAL-460104,Ribeiras,4,11,153.0,142.0,9.0,22.0,3.0,1.0,0.0,7.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,,,,
LOCAL-460105,Ribeirinha,3,9,86.0,63.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-460106,São João,0,16,68.0,77.0,6.0,15.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,
