,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-430101,Altares,2,6,166.0,135.0,19.0,15.0,7.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),18,31,686.0,462.0,72.0,81.0,66.0,4.0,32.0,7.0,16.0,29.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,
LOCAL-430103,Angra (Santa Luzia),4,23,492.0,335.0,50.0,58.0,40.0,3.0,21.0,1.0,8.0,13.0,2.0,2.0,0.0,5.0,1.0,,,,,,,,
LOCAL-430104,Angra (São Pedro),10,35,637.0,644.0,83.0,85.0,102.0,14.0,17.0,3.0,26.0,20.0,2.0,4.0,3.0,2.0,3.0,,,,,,,,
LOCAL-430105,Angra (Sé),3,11,179.0,260.0,24.0,25.0,38.0,0.0,5.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
LOCAL-430106,Cinco Ribeiras,6,16,122.0,150.0,12.0,5.0,8.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
LOCAL-430107,Doze Ribeiras,4,7,129.0,67.0,16.0,8.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
LOCAL-430108,Feteira,8,9,256.0,244.0,29.0,30.0,30.0,8.0,8.0,2.0,3.0,7.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,
LOCAL-430109,Porto Judeu,9,15,465.0,346.0,51.0,13.0,35.0,2.0,4.0,1.0,3.0,5.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,
LOCAL-430110,Posto Santo,4,12,231.0,147.0,23.0,20.0,12.0,1.0,4.0,0.0,5.0,8.0,0.0,1.0,2.0,4.0,0.0,,,,,,,,
LOCAL-430111,Raminho,1,6,85.0,73.0,5.0,7.0,10.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
LOCAL-430112,Ribeirinha,21,15,501.0,529.0,51.0,24.0,34.0,6.0,3.0,2.0,6.0,7.0,0.0,1.0,1.0,3.0,0.0,,,,,,,,
LOCAL-430113,Santa Bárbara,2,24,232.0,186.0,29.0,19.0,18.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,
LOCAL-430114,São Bartolomeu de Regatos,11,32,319.0,276.0,52.0,29.0,32.0,5.0,7.0,3.0,9.0,6.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,
LOCAL-430115,São Bento,6,18,431.0,280.0,37.0,41.0,34.0,5.0,3.0,2.0,9.0,6.0,0.0,1.0,1.0,3.0,1.0,,,,,,,,
LOCAL-430116,São Mateus da Calheta,13,31,599.0,463.0,65.0,66.0,57.0,4.0,13.0,4.0,7.0,32.0,1.0,1.0,3.0,5.0,2.0,,,,,,,,
LOCAL-430117,Serreta,0,1,75.0,57.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
LOCAL-430118,Terra Chã,8,22,472.0,342.0,60.0,38.0,46.0,4.0,16.0,1.0,8.0,18.0,0.0,1.0,1.0,4.0,3.0,,,,,,,,
