,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-430101,Altares,3,13,199.0,158.0,56.0,10.0,9.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),19,31,599.0,624.0,196.0,85.0,47.0,13.0,33.0,36.0,29.0,2.0,1.0,0.0,5.0,,,,,,,
LOCAL-430103,Angra (Santa Luzia),14,33,438.0,447.0,136.0,28.0,46.0,5.0,22.0,21.0,18.0,0.0,0.0,2.0,0.0,,,,,,,
LOCAL-430104,Angra (São Pedro),10,35,862.0,577.0,162.0,80.0,70.0,8.0,39.0,22.0,20.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430105,Angra (Sé),9,7,302.0,153.0,66.0,16.0,18.0,5.0,15.0,12.0,10.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430106,Cinco Ribeiras,2,10,197.0,95.0,48.0,12.0,14.0,3.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430107,Doze Ribeiras,2,10,108.0,88.0,37.0,9.0,3.0,3.0,7.0,4.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430108,Feteira,11,12,337.0,202.0,78.0,24.0,24.0,10.0,14.0,8.0,3.0,2.0,1.0,3.0,0.0,,,,,,,
LOCAL-430109,Porto Judeu,11,33,452.0,369.0,130.0,34.0,22.0,8.0,12.0,6.0,10.0,1.0,0.0,0.0,1.0,,,,,,,
LOCAL-430110,Posto Santo,3,19,223.0,179.0,52.0,15.0,9.0,5.0,8.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430111,Raminho,0,11,114.0,97.0,23.0,8.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430112,Ribeirinha,15,26,655.0,444.0,145.0,23.0,29.0,9.0,18.0,13.0,3.0,1.0,0.0,2.0,1.0,,,,,,,
LOCAL-430113,Santa Bárbara,6,17,282.0,199.0,92.0,8.0,22.0,5.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430114,São Bartolomeu de Regatos,13,27,400.0,273.0,124.0,30.0,34.0,7.0,22.0,10.0,9.0,2.0,1.0,2.0,0.0,,,,,,,
LOCAL-430115,São Bento,8,25,386.0,389.0,108.0,28.0,20.0,12.0,11.0,8.0,6.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-430116,São Mateus da Calheta,20,32,687.0,570.0,217.0,73.0,45.0,13.0,23.0,24.0,30.0,2.0,0.0,2.0,2.0,,,,,,,
LOCAL-430117,Serreta,0,6,65.0,58.0,24.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430118,Terra Chã,10,49,454.0,459.0,176.0,44.0,45.0,6.0,23.0,13.0,9.0,2.0,0.0,1.0,1.0,,,,,,,
LOCAL-430119,Vila de São Sebastião,5,18,445.0,300.0,124.0,21.0,37.0,10.0,6.0,7.0,8.0,0.0,1.0,1.0,0.0,,,,,,,
LOCAL-450101,Calheta,8,24,280.0,192.0,59.0,15.0,12.0,8.0,7.0,7.0,11.0,1.0,0.0,2.0,1.0,,,,,,,
LOCAL-450102,Norte Pequeno,0,2,66.0,21.0,14.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-450103,Ribeira Seca,4,11,261.0,92.0,40.0,7.0,10.0,7.0,6.0,2.0,4.0,2.0,0.0,1.0,1.0,,,,,,,
LOCAL-450104,Santo Antão,2,11,167.0,60.0,18.0,4.0,4.0,8.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,,,,,,,
