Nível,Código,Designação
1,PT,Portugal
2,1,Continente
3,11,Norte
4,111,Alto Minho
5,1601,Arcos de Valdevez
6,160101,Aboim das Choças
6,160102,Aguiã
6,160104,Ázere
6,160105,Cabana Maior
6,160106,Cabreiro
6,160108,Cendufe
6,160109,Couto
6,160113,Gavieira
6,160115,Gondoriz
6,160142,Jolda (São Paio)
6,160121,Miranda
6,160122,Monte Redondo
6,160123,Oliveira
6,160124,Paçô
6,160125,Padroso
6,160128,Prozelo
6,160131,Rio de Moinhos
6,160130,Rio Frio
6,160133,Sabadim
6,160144,Senharei
6,160145,Sistelo
6,160146,Soajo
6,160152,União das freguesias de Alvora e Loureda
6,160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
6,160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela
6,160155,União das freguesias de Eiras e Mei
6,160156,União das freguesias de Grade e Carralcova
6,160157,União das freguesias de Guilhadeses e Santar
6,160158,União das freguesias de Jolda (Madalena) e Rio Cabrão
6,160159,União das freguesias de Padreiro (Salvador e Santa Cristina)
6,160160,União das freguesias de Portela e Extremo
6,160161,União das freguesias de São Jorge e Ermelo
6,160162,União das freguesias de Souto e Tabaçô
6,160163,União das freguesias de Távora (Santa Maria e São Vicente)
6,160164,"União das freguesias de Vilela, São Cosme e São Damião e Sá"
6,160149,Vale
5,1602,Caminha
6,160201,Âncora
6,160205,Argela
6,160209,Dem
6,160211,Lanhelas
6,160214,Riba de Âncora
6,160215,Seixas
6,160221,"União das freguesias de Arga (Baixo, Cima e São João)"
6,160222,União das freguesias de Caminha (Matriz) e Vilarelho
6,160223,União das freguesias de Gondar e Orbacém
6,160224,União das freguesias de Moledo e Cristelo
6,160225,União das freguesias de Venade e Azevedo
6,160217,Vila Praia de Âncora
6,160218,Vilar de Mouros
6,160220,Vile
5,1603,Melgaço
6,160301,Alvaredo
6,160304,Cousso
6,160305,Cristoval
6,160307,Fiães
6,160308,Gave
6,160311,Paderne
6,160313,Penso
6,160317,São Paio
6,160319,União das freguesias de Castro Laboreiro e Lamas de Mouro
6,160320,União das freguesias de Chaviães e Paços
6,160321,União das freguesias de Parada do Monte e Cubalhão
6,160322,União das freguesias de Prado e Remoães
6,160323,União das freguesias de Vila e Roussas
5,1604,Monção
6,160401,Abedim
6,160404,Barbeita
6,160405,Barroças e Taias
6,160406,Bela
6,160407,Cambeses
6,160410,Lara
6,160411,Longos Vales
6,160415,Merufe
6,160418,Moreira
6,160420,Pias
6,160421,Pinheiros
6,160422,Podame
6,160423,Portela
6,160424,Riba de Mouro
6,160427,Segude
6,160428,Tangil
6,160431,Trute
6,160434,União das freguesias de Anhões e Luzio
6,160435,União das freguesias de Ceivães e Badim
6,160436,União das freguesias de Mazedo e Cortes
6,160437,"União das freguesias de Messegães, Valadares e Sá"
6,160438,União das freguesias de Monção e Troviscoso
6,160439,"União das freguesias de Sago, Lordelo e Parada"
6,160440,União das freguesias de Troporiz e Lapela
5,1605,Paredes de Coura
6,160501,Agualonga
6,160503,Castanheira
6,160505,Coura
6,160507,Cunha
6,160510,Infesta
6,160513,Mozelos
6,160514,Padornelo
6,160515,Parada
6,160519,Romarigães
6,160520,Rubiães
6,160522,União das freguesias de Bico e Cristelo
6,160523,União das freguesias de Cossourado e Linhares
6,160524,União das freguesias de Formariz e Ferreira
6,160525,União das freguesias de Insalde e Porreiras
6,160526,União das freguesias de Paredes de Coura e Resende
6,160521,Vascões
5,1606,Ponte da Barca
6,160601,Azias
6,160602,Boivães
6,160603,Bravães
6,160604,Britelo
6,160606,Cuide de Vila Verde
6,160611,Lavradas
6,160612,Lindoso
6,160613,Nogueira
6,160614,Oleiros
6,160619,Sampriz
6,160626,"União das freguesias de Crasto, Ruivos e Grovelas"
6,160627,"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil"
6,160628,"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães"
6,160629,União das freguesias de Touvedo (São Lourenço e Salvador)
6,160630,União das freguesias de Vila Chã (São João Baptista e Santiago)
6,160623,Vade (São Pedro)
6,160624,Vade (São Tomé)
5,1607,Ponte de Lima
6,160701,Anais
6,160752,Arca e Ponte de Lima
6,160704,Arcozelo
6,160753,"Ardegão, Freixo e Mato"
6,160754,Associação de freguesias do Vale do Neiva
6,160755,Bárrio e Cepões
6,160707,Beiral do Lima
6,160708,Bertiandos
6,160709,Boalhosa
6,160710,Brandara
6,160756,Cabaços e Fojo Lobal
6,160757,Cabração e Moreira do Lima
6,160713,Calheiros
6,160714,Calvelo
6,160716,Correlhã
6,160717,Estorãos
6,160718,Facha
6,160719,Feitosa
6,160721,Fontão
6,160758,Fornelos e Queijada
6,160724,Friastelas
6,160726,Gandra
6,160727,Gemieira
6,160728,Gondufe
6,160729,Labruja
6,160759,"Labrujó, Rendufe e Vilar do Monte"
6,160760,Navió e Vitorino dos Piães
6,160734,Poiares
6,160744,Rebordões (Santa Maria)
6,160747,Rebordões (Souto)
6,160737,Refóios do Lima
6,160739,Ribeira
6,160740,Sá
6,160742,Santa Comba
6,160743,Santa Cruz do Lima
6,160703,São Pedro d'Arcos
6,160745,Seara
6,160746,Serdedelo
6,160750,Vitorino das Donas
5,1608,Valença
6,160802,Boivão
6,160803,Cerdal
6,160805,Fontoura
6,160806,Friestas
6,160808,Ganfei
6,160812,São Pedro da Torre
6,160817,União das freguesias de Gandra e Taião
6,160818,União das freguesias de Gondomil e Sanfins
6,160819,União das freguesias de São Julião e Silva
6,160820,"União das freguesias de Valença, Cristelo Covo e Arão"
6,160816,Verdoejo
5,1609,Viana do Castelo
6,160901,Afife
6,160902,Alvarães
6,160903,Amonde
6,160904,Anha
6,160905,Areosa
6,160908,Carreço
6,160910,Castelo do Neiva
6,160940,Chafé
6,160911,Darque
6,160914,Freixieiro de Soutelo
6,160915,Lanheses
6,160920,Montaria
6,160922,Mujães
6,160925,Outeiro
6,160926,Perre
6,160928,Santa Marta de Portuzelo
6,160923,São Romão de Neiva
6,160941,União das freguesias de Barroselas e Carvoeiro
6,160942,União das freguesias de Cardielos e Serreleis
6,160943,"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão"
6,160944,União das freguesias de Mazarefes e Vila Fria
6,160945,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda"
6,160946,"União das freguesias de Subportela, Deocriste e Portela Susã"
6,160947,União das freguesias de Torre e Vila Mou
6,160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela
6,160938,Vila de Punhe
6,160935,Vila Franca
5,1610,Vila Nova de Cerveira
6,161003,Cornes
6,161004,Covas
6,161006,Gondarém
6,161007,Loivo
6,161009,Mentrestido
6,161012,Sapardos
6,161013,Sopo
6,161016,União das freguesias de Campos e Vila Meã
6,161017,União das freguesias de Candemil e Gondar
6,161018,União das freguesias de Reboreda e Nogueira
6,161019,União das freguesias de Vila Nova de Cerveira e Lovelhe
4,112,Cávado
5,0301,Amares
6,030102,Barreiros
6,030104,Bico
6,030119,Bouro (Santa Maria)
6,030120,Bouro (Santa Marta)
6,030105,Caires
6,030107,Carrazedo
6,030108,Dornelas
6,030111,Fiscal
6,030112,Goães
6,030113,Lago
6,030118,Rendufe
6,030125,União das freguesias de Amares e Figueiredo
6,030126,"União das freguesias de Caldelas, Sequeiros e Paranhos"
6,030127,"União das freguesias de Ferreiros, Prozelo e Besteiros"
6,030128,União das freguesias de Torre e Portela
6,030129,"União das freguesias de Vilela, Seramil e Paredes Secas"
5,0302,Barcelos
6,030201,Abade de Neiva
6,030202,Aborim
6,030203,Adães
6,030205,Airó
6,030206,Aldreu
6,030208,Alvelos
6,030209,Arcozelo
6,030210,Areias
6,030212,Balugães
6,030213,Barcelinhos
6,030215,Barqueiros
6,030216,Cambeses
6,030218,Carapeços
6,030220,Carvalhal
6,030221,Carvalhas
6,030224,Cossourado
6,030228,Cristelo
6,030234,Fornelos
6,030235,Fragoso
6,030268,Galegos (Santa Maria)
6,030272,Galegos (São Martinho)
6,030237,Gilmonde
6,030242,Lama
6,030243,Lijó
6,030244,Macieira de Rates
6,030245,Manhente
6,030247,Martim
6,030252,Moure
6,030254,Oliveira
6,030255,Palme
6,030256,Panque
6,030257,Paradela
6,030259,Pereira
6,030260,Perelhal
6,030261,Pousa
6,030263,Remelhe
6,030265,Rio Covo (Santa Eugénia)
6,030264,Roriz
6,030279,Silva
6,030277,Tamel (São Veríssimo)
6,030282,Ucha
6,030290,União das freguesias de Alheira e Igreja Nova
6,030291,União das freguesias de Alvito (São Pedro e São Martinho) e Couto
6,030292,União das freguesias de Areias de Vilar e Encourados
6,030293,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)"
6,030294,União das freguesias de Campo e Tamel (São Pedro Fins)
6,030295,União das freguesias de Carreira e Fonte Coberta
6,030296,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral"
6,030297,União das freguesias de Creixomil e Mariz
6,030298,União das freguesias de Durrães e Tregosa
6,030299,União das freguesias de Gamil e Midões
6,0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria"
6,0302FB,União das freguesias de Negreiros e Chavão
6,0302FC,União das freguesias de Quintiães e Aguiar
6,0302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)
6,0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália)
6,0302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte
6,0302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães"
6,0302FH,União das freguesias de Vila Cova e Feitos
6,030283,Várzea
6,030287,Vila Seca
5,0303,Braga
6,030301,Adaúfe
6,030349,Braga (São Vicente)
6,030351,Braga (São Vítor)
6,030312,Espinho
6,030313,Esporões
6,030315,Figueiredo
6,030319,Gualtar
6,030322,Lamas
6,030325,Mire de Tibães
6,030330,Padim da Graça
6,030331,Palmeira
6,030334,Pedralva
6,030336,Priscos
6,030338,Ruilhe
6,030354,Sequeira
6,030355,Sobreposta
6,030356,Tadim
6,030357,Tebosa
6,030363,União das freguesias de Arentim e Cunha
6,030364,"União das freguesias de Braga (Maximinos, Sé e Cividade)"
6,030365,União das freguesias de Braga (São José de São Lázaro e São João do Souto)
6,030366,União das freguesias de Cabreiros e Passos (São Julião)
6,030367,"União das freguesias de Celeirós, Aveleda e Vimieiro"
6,030368,União das freguesias de Crespos e Pousada
6,030369,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente)
6,030370,União das freguesias de Este (São Pedro e São Mamede)
6,030371,União das freguesias de Ferreiros e Gondizalves
6,030372,União das freguesias de Guisande e Oliveira (São Pedro)
6,030373,União das freguesias de Lomar e Arcos
6,030374,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães"
6,030375,União das freguesias de Merelim (São Pedro) e Frossos
6,030376,União das freguesias de Morreira e Trandeiras
6,030377,"União das freguesias de Nogueira, Fraião e Lamaçães"
6,030378,União das freguesias de Nogueiró e Tenões
6,030379,"União das freguesias de Real, Dume e Semelhe"
6,030380,União das freguesias de Santa Lucrécia de Algeriz e Navarra
6,030381,União das freguesias de Vilaça e Fradelos
5,0306,Esposende
6,030601,Antas
6,030608,Forjães
6,030610,Gemeses
6,030616,União das freguesias de Apúlia e Fão
6,030617,União das freguesias de Belinho e Mar
6,030618,"União das freguesias de Esposende, Marinhas e Gandra"
6,030619,União das freguesias de Fonte Boa e Rio Tinto
6,030620,União das freguesias de Palmeira de Faro e Curvos
6,030615,Vila Chã
5,0310,Terras de Bouro
6,031001,Balança
6,031003,Campo do Gerês
6,031004,Carvalheira
6,031008,Covide
6,031009,Gondoriz
6,031010,Moimenta
6,031012,Ribeira
6,031013,Rio Caldo
6,031014,Souto
6,031018,União das freguesias de Chamoim e Vilar
6,031019,União das freguesias de Chorense e Monte
6,031020,União das freguesias de Cibões e Brufe
6,031015,Valdosende
6,031017,Vilar da Veiga
5,0313,Vila Verde
6,031359,Aboim da Nóbrega e Gondomar
6,031304,Atiães
6,031308,Cabanelas
6,031309,Cervães
6,031311,Coucieiro
6,031313,Dossãos
6,031316,Freiriz
6,031317,Gême
6,031323,Lage
6,031324,Lanhas
6,031325,Loureira
6,031328,Moure
6,031330,Oleiros
6,031331,Parada de Gatim
6,031335,Pico
6,031337,Ponte
6,031350,Prado (São Miguel)
6,031340,Sabariz
6,031352,Soutelo
6,031354,Turiz
6,031360,União das freguesias da Ribeira do Neiva
6,031361,União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago)
6,031362,União das freguesias de Escariz (São Mamede) e Escariz (São Martinho)
6,031363,"União das freguesias de Esqueiros, Nevogilde e Travassós"
6,031364,União das freguesias de Marrancos e Arcozelo
6,031365,União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel)
6,031366,"União das freguesias de Pico de Regalados, Gondiães e Mós"
6,031367,"União das freguesias de Sande, Vilarinho, Barros e Gomide"
6,031368,"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)"
6,031369,União das freguesias do Vade
6,031355,Valdreu
6,031342,Vila de Prado
6,031370,Vila Verde e Barbudo
4,119,Ave
5,0304,Cabeceiras de Basto
6,030401,Abadim
6,030404,Basto
6,030405,Bucos
6,030406,Cabeceiras de Basto
6,030407,Cavez
6,030408,Faia
6,030413,Pedraça
6,030415,Rio Douro
6,030418,União das freguesias de Alvite e Passos
6,030419,União das freguesias de Arco de Baúlhe e Vila Nune
6,030420,União das freguesias de Gondiães e Vilar de Cunhas
6,030421,"União das freguesias de Refojos de Basto, Outeiro e Painzela"
5,0307,Fafe
6,030705,Armil
6,030726,Arões (Santa Cristina)
6,030730,Arões (São Romão)
6,030708,Estorãos
6,030709,Fafe
6,030712,Fornelos
6,030714,Golães
6,030716,Medelo
6,030719,Paços
6,030722,Quinchães
6,030723,Regadas
6,030724,Revelhe
6,030725,Ribeiros
6,030728,São Gens
6,030729,Silvares (São Martinho)
6,030733,Travassós
6,030737,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído"
6,030738,União de freguesias de Agrela e Serafão
6,030739,União de freguesias de Antime e Silvares (São Clemente)
6,030740,"União de freguesias de Ardegão, Arnozela e Seidões"
6,030741,União de freguesias de Cepães e Fareja
6,030742,União de freguesias de Freitas e Vila Cova
6,030743,União de freguesias de Monte e Queimadela
6,030744,União de freguesias de Moreira do Rei e Várzea Cova
6,030736,Vinhós
5,0308,Guimarães
6,030801,Aldão
6,030804,Azurém
6,030806,Barco
6,030807,Brito
6,030808,Caldelas
6,030857,Candoso (São Martinho)
6,030812,Costa
6,030813,Creixomil
6,030815,Fermentões
6,030820,Gonça
6,030821,Gondar
6,030823,Guardizela
6,030824,Infantas
6,030827,Longos
6,030828,Lordelo
6,030830,Mesão Frio
6,030831,Moreira de Cónegos
6,030832,Nespereira
6,030835,Pencelo
6,030836,Pinheiro
6,030837,Polvoreira
6,030838,Ponte
6,030842,Prazins (Santa Eufémia)
6,030840,Ronfe
6,030858,Sande (São Martinho)
6,030865,São Torcato
6,030850,Selho (São Cristóvão)
6,030854,Selho (São Jorge)
6,030866,Serzedelo
6,030868,Silvares
6,030875,União das freguesias de Abação e Gémeos
6,030876,"União das freguesias de Airão Santa Maria, Airão São João e Vermil"
6,030877,União das freguesias de Arosa e Castelões
6,030878,União das freguesias de Atães e Rendufe
6,030879,União das freguesias de Briteiros Santo Estêvão e Donim
6,030880,União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia
6,030881,União das freguesias de Candoso São Tiago e Mascotelos
6,030882,União das freguesias de Conde e Gandarela
6,030883,"União das freguesias de Leitões, Oleiros e Figueiredo"
6,030884,"União das freguesias de Oliveira, São Paio e São Sebastião"
